date,riyadh_download_mbps,dubai_download_mbps,kuwaitcity_download_mbps,doha_download_mbps,manama_download_mbps,muscat_download_mbps
2019-01-31,8.086047175788156,11.10802139557943,3.2680151223839395,5.2262929264211095,6.447837955960531,5.072854365376131
2019-02-28,8.613243805430121,10.904685007009649,5.076622023264014,7.826864113059654,4.873720030345827,3.91216895809615
2019-03-31,9.174915885660875,14.002538217532884,6.20154262605429,9.41428186765997,5.517677104849982,4.477805279223678
2019-04-30,9.39948003649811,11.006823045209977,8.20425421833058,11.82980020961659,5.611887320576957,5.290512639191081
2019-05-31,8.549999571105472,12.02128624490354,7.977519936985799,14.848683240007391,5.752472726662309,6.046910434606202
2019-06-30,9.200594530740693,14.3344050071859,7.725719227524123,16.19068656204697,7.9259389775445035,7.133382703657308
2019-07-31,6.935081644790563,13.185196583357524,9.007722499077321,14.185930521970592,5.372652253812702,5.1003324243065356
2019-08-31,10.852727403499323,10.594794570179534,10.007405619916778,14.872646307623752,6.519009824971021,6.0192645384164205
2019-09-30,11.308995306184922,10.108735520192685,8.468121574388562,11.886062778964822,7.527801580760721,6.6215831454696765
2019-10-31,11.33049504838535,13.166571614251374,8.134635179950655,14.784051751200016,7.328355042246073,6.38779715706192
2019-11-30,13.663377265528732,37.243042676809516,13.125382509066586,31.558462055681957,9.326349170385106,11.536339299465016
2019-12-31,17.734871234975483,43.031983653678566,15.190446416250953,27.976385565822948,9.51762744572788,17.306887174671992
2020-01-31,16.836021740417532,50.53551714663086,13.580507212528536,27.0921412213035,10.558622143549812,17.23945849087185
2020-02-29,17.827759643689667,43.80065817797425,15.153354922914415,34.7767194999356,10.475500396308362,13.314409679935858
2020-03-31,14.907954171945764,25.935158858430086,12.335325785450184,26.39714880978985,10.004757372613177,10.78927168418115
2020-04-30,15.397470670861013,33.67466427250201,14.038118980169651,28.23422200739648,13.753241727164095,11.956238648083191
2020-05-31,17.787167170872515,37.97788802659347,14.648899376924241,31.33198995179189,13.885624821517824,21.026824709666887
2020-06-30,17.920942109022487,40.00471105883936,15.282676219067127,28.90093351571049,17.251562873639454,18.968774281729388
2020-07-31,16.991835874855862,38.291011469345904,15.955960414573834,26.107041823162337,17.027328489840713,18.94655069959779
2020-08-31,17.9213342944837,35.421669251966534,18.517494688652143,24.270591859628386,15.633451912232637,16.67917623870788
2020-09-30,16.907168177072304,34.91450307132489,18.726344075345946,23.199228540803656,17.10863456434704,18.946493406189976
2020-10-31,18.98096030035885,34.72903090272611,19.56053048259828,22.88835050945768,13.143067836762013,17.219793469908513
2020-11-30,20.427680996190983,33.33691410878498,17.25693109117955,23.932700955044726,11.790778572064236,16.606539620036244
2020-12-31,22.061577047911484,36.9768500153795,17.4457139448325,23.535157728837202,17.301291454189357,17.799276637910168
2021-01-31,19.950771005406256,35.14692905729396,17.635351842061784,27.96457540550355,19.107350159887854,20.607112954339136
2021-02-28,19.8464518273242,32.31446627114429,18.20386897627062,24.313623196751507,18.45248367342493,17.17198633119718
2021-03-31,19.232557795118776,32.31786822658524,15.844524772427548,22.835317733984052,15.43192376278486,16.246620295293727
2021-04-30,22.883160185539325,31.418439282039284,19.43345161004741,23.71597148899069,14.572692579600965,16.26906123476129
2021-05-31,19.856978827069174,31.29931767605303,20.039120772125234,26.10559022170166,15.339015695060041,15.872704431222504
2021-06-30,20.279521247989077,23.57000227573708,23.47024628640891,25.247150851708707,14.325231576342778,15.665547343364665
2021-07-31,23.63207071762427,30.760233273899726,26.797450036907243,26.756933480296166,13.747334944534355,17.662457996701026
2021-08-31,22.2405975407152,21.47780796421211,25.09055416872969,25.092012040391293,20.583908925732555,16.06099264948966
2021-09-30,21.16378053260991,23.231090099249226,23.717218802650894,24.55549416597528,19.94672574802989,19.62628863706198
2021-10-31,21.462960273270504,27.36455270818706,29.3821708879784,25.467559602629212,17.05546035089211,15.279808038321773
2021-11-30,21.791974426386894,30.99776070294381,32.89542868321688,23.98170854505279,11.591203480453805,17.291968226168756
2021-12-31,23.213103585116677,33.469855354990166,32.83762123731592,27.628951618305233,26.69227613990231,17.644939615569616
2022-01-31,24.101401605589803,24.57605596960571,27.941878300021653,23.783529766959006,17.42749960186139,16.25663684744252
2022-02-28,24.238164808981374,27.192727062131045,32.44342648746368,29.40568075125781,13.085016005812285,16.80576475444314
2022-03-31,28.249402767199882,26.789707092005084,33.87258419918594,25.629401696547927,13.648023645605639,16.770393639987685
2022-04-30,29.92546966323845,28.037629358299217,35.35882484365371,25.123882225875484,11.44978985431465,19.400995604806763
2022-05-31,38.98817910594387,40.200947606154664,43.057922223282915,35.34047476445447,17.99511999844174,21.555205338436576
2022-06-30,39.86125126036003,19.537737008504486,41.79097088020311,32.97067656675824,26.266586695797617,17.864220086499817
2022-07-31,38.19442854020128,21.2396478961805,48.24538936586303,31.514593093889527,30.6691165851408,19.771400779023857
2022-08-31,38.4603275386721,29.31432068631515,43.159424210153055,47.46764072413377,28.814777068392118,26.572403019282124
2022-09-30,37.64520773231443,37.692851833670765,35.834777232556576,46.15160267253938,28.359346732817883,24.448026629437404
2022-10-31,37.60159678507094,31.09532152516473,37.27483862689216,51.09811110359608,42.83979625339588,30.422613190501323
2022-11-30,40.7687158326933,43.72944107445967,44.76378557616737,62.8964109199981,68.89434699699521,39.52063662793136
2022-12-31,41.80737585602557,58.57680900717725,50.81305683390309,52.64604567696174,63.831291400101286,42.43727077684543
2023-01-31,42.13133996429137,65.36495614351247,48.15618567456236,57.48078074962102,61.69424069684496,44.92291105525423
2023-02-28,37.36447386880591,50.65685528610761,42.84141438309096,57.35122649375414,47.708363875570456,38.503481963029124
2023-03-31,40.41162916649685,66.29398886096111,37.011808434393714,57.125968886115366,36.19635290513189,31.118198522475442
2023-04-30,42.91841936310723,72.76712402121584,35.73204188357053,52.54238535814168,35.09095875908435,34.51509238304946
2023-05-31,45.39084338428832,75.6667840061052,32.852232368652956,55.361461740549025,33.57092560968668,33.544538582631915
2023-06-30,45.37083011361423,84.08856738606137,37.9359062302244,56.24520435971201,34.8990423899587,32.259772471422224
2023-07-31,39.759914630030636,66.6227151754391,41.87345875505682,57.020180963001664,38.0222080544147,33.16756879316468
2023-08-31,38.75069381237503,67.11443523996569,40.20475031202641,54.03504739371646,39.14379792779033,30.211872261951875
2023-09-30,40.553706383891864,60.435892034017655,42.635204918329904,52.098077052320335,42.1910066327752,34.37756836577946
2023-10-31,41.54412043439143,59.748541969115585,48.16469276047673,60.4143787100525,60.91604159105195,44.000146820398825
2023-11-30,42.83860417463017,73.24180539560122,50.652363380974876,74.80666202001132,48.6429401564132,46.864326000710705
2023-12-31,44.73979891736711,91.18756098064723,51.72739349511984,75.28413456746233,81.2572097708483,55.803697066688564
2024-01-31,52.721229165990906,,,,,
2024-02-29,51.03890333054265,,,,,
2024-03-31,51.3246054571172,,,,,
2024-04-30,50.88990579272886,,,,,
2024-05-31,56.041106374801046,,,,,
2024-06-30,54.42315373705165,,,,,
2024-07-31,54.23552331282348,,,,,
2024-08-31,53.936685045207255,,,,,
2024-09-30,57.603466397421364,,,,,
2024-10-31,56.87642996490142,,,,,
2024-11-30,56.21360888369947,,,,,
2024-12-31,59.094580170652975,,,,,
